"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1278711536266219522","https://twitter.com/dsunderhood/status/1278711536266219522","Это очень интересный опыт, на самом деле, хотя пока сложно хвастаться успехами. Никто тебе не платит, но ты руководишь чуваками, которым тоже никто не платит. К тому же пришли они без всякого отбора.","2020-07-02 15:26 +0000","825.0","9.0","0.01090909090909091","0.0","1.0","2.0","1.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278711023650906118","https://twitter.com/dsunderhood/status/1278711023650906118","А в том, что это весело только пока ты прогоняешь один jupyter notebook и рисуешь графики. В общем, наш проект быстро наполнился такими ноутбучеками, а теперь со страшным скрипом делается сам продукт.","2020-07-02 15:23 +0000","896.0","8.0","0.008928571428571428","0.0","1.0","2.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278709857030471680","https://twitter.com/dsunderhood/status/1278709857030471680","Так вот. Вроде интересная тема и многим хочется поучаствовать. Но в жизни видно, что много таких проектов заброшены. В чём причина?","2020-07-02 15:19 +0000","971.0","11.0","0.01132852729145211","0.0","1.0","3.0","0.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278706583510409216","https://twitter.com/dsunderhood/status/1278706583510409216","На основе совстречаемости разных слов, они детектируют вспышки каких-нибудь устойчивых фраз в новостях, твитах, блогах и сопоставляют пики. Из этого получается такой анализ как новости вбрасывают, а блоги реагируют.","2020-07-02 15:06 +0000","1077.0","6.0","0.005571030640668524","0.0","1.0","2.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278706313137176582","https://twitter.com/dsunderhood/status/1278706313137176582","Ещё интересная тема связанная с этим -- это детекция событий во временных рядах. Юре Лесковец, который наверное сейчас самый модный исследователь графов запилил такую штуку https://t.co/JayQonm85D","2020-07-02 15:05 +0000","1086.0","34.0","0.03130755064456722","1.0","1.0","3.0","0.0","26.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278703694620561408","https://twitter.com/dsunderhood/status/1278703694620561408","@francereports Наверное не попал в топ 10. Там много нюансов в подготовке данных. Надеюсь, мы однажды сможем повторить на других источниках новостей тоже.","2020-07-02 14:54 +0000","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278703357172072458","https://twitter.com/dsunderhood/status/1278703357172072458","И ещё Парфёнов красавчик.","2020-07-02 14:53 +0000","1011.0","14.0","0.013847675568743818","0.0","1.0","1.0","0.0","0.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278703245335179268","https://twitter.com/dsunderhood/status/1278703245335179268","Ещё как влияние технологий входило в политику. Билл Гейтс сначала был один из категории, и то скорее как богач, а потом вот пошли соцсети и всё такое.","2020-07-02 14:53 +0000","979.0","5.0","0.005107252298263534","0.0","1.0","1.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278703047837921281","https://twitter.com/dsunderhood/status/1278703047837921281","Там можно увидеть, как два года нам рассказывали, что будет если обидеть Путина: в топе три участницы Pussy Riot. Потом 4 года Порошенко упоминался в 4 раза чаще Путина.","2020-07-02 14:52 +0000","848.0","6.0","0.007075471698113208","0.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278702531795976193","https://twitter.com/dsunderhood/status/1278702531795976193","И вот легенда. https://t.co/KhfKMfFuTp","2020-07-02 14:50 +0000","956.0","80.0","0.08368200836820083","0.0","2.0","1.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","72","72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278702469883846658","https://twitter.com/dsunderhood/status/1278702469883846658","Про NER у нас интересная штука получилась. Это 20 лет ленты.ру. Как менялись ранги в топе упоминаний имён в новостях. https://t.co/nmrMlo53be","2020-07-02 14:50 +0000","914.0","113.0","0.12363238512035012","1.0","1.0","1.0","1.0","0.0","0.0","18.0","0.0","0","0","0","0","0","91","91","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278702028072640525","https://twitter.com/dsunderhood/status/1278702028072640525","А ещё либа flashtext. Это просто каеф. https://t.co/1B69rUllXV
Может быть поможет вам выкинуть регулярки.","2020-07-02 14:48 +0000","1106.0","37.0","0.03345388788426763","2.0","1.0","10.0","2.0","14.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278701610059923456","https://twitter.com/dsunderhood/status/1278701610059923456","@francereports Это больной вопрос. Мы сейчас перепиливаем всё, потому что человеку со стороны в нашем репозитории ничего не понять. Но можно глянуть тут https://t.co/rDw8o5akiA","2020-07-02 14:46 +0000","23.0","2.0","0.08695652173913043","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278701318283108352","https://twitter.com/dsunderhood/status/1278701318283108352","Поэтому в двух словах напишу сразу выводы:
Лемматизация: pymorphy
Тематическое моделирование: bigARTM
NER (в русском языке): Polyglot.","2020-07-02 14:45 +0000","1191.0","43.0","0.03610411418975651","1.0","3.0","2.0","2.0","0.0","0.0","35.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278700956478291973","https://twitter.com/dsunderhood/status/1278700956478291973","На момент, когда мы начинали, я не видел, чтобы где-то в одном месте можно было найти схему ""если хочешь делать препроцессинг/тематизацию/NER, то делай вот так, а всё остальное не работает"". Кажется, до сих пор такого нет.","2020-07-02 14:43 +0000","952.0","6.0","0.0063025210084033615","0.0","1.0","1.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278700609856835584","https://twitter.com/dsunderhood/status/1278700609856835584","Что касается результатов и особенностей менеджмента таких проектов позже. Из полезного, чем можно поделиться -- это куча экспериментов, которые мы проделали над разными инструментами и технологиями.","2020-07-02 14:42 +0000","885.0","8.0","0.00903954802259887","0.0","1.0","2.0","1.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1278700321708138496","https://twitter.com/dsunderhood/status/1278700321708138496","А я вот по соседству веду проект по визуализации новостей. Вот он основан на тематическом моделировании. Мы там накачали кучу новостей, разбили по темам и отрисовываем, как они менялись во времени.","2020-07-02 14:41 +0000","906.0","8.0","0.008830022075055188","0.0","2.0","2.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
